date,igae,pi_core_gap,pi_inpp_gap,dep_tcr,i_gap,m2_gap,y_us_gap,pi_us,pi_crb,t
01jun2004,-.38502924441103,.496295579079133,2.83150241623744,-10.1421716744646,2.80709567221575,12.5628193295828,-1.57231231786437,3.41706882509882,-23.4921905799784,2004m6
01jul2004,-1.13760790973555,-.143789550285014,1.21153300486739,9.109403135810719,3.0563891501876,.56138062936025,-.977207753008891,1.11183460650786,17.8208185552023,2004m7
01aug2004,-1.0726767936115,.199973922363755,1.88448976614355,-14.6279804097052,3.46715203452804,3.96632185287685,-1.05716785457455,.615573266089697,17.8519332466156,2004m8
01sep2004,-1.22539775083284,.337048788314164,1.14936530761666,5.54679066114758,3.62188531229539,6.17163662517081,-1.07472251267584,2.36926037602601,-.320080279146495,2004m9
01oct2004,-1.11548808610358,.455151243738292,.263514030938381,-8.431398907814719,4.02558842753953,11.3814855656523,-.367015446546493,5.14226707473604,97.34357442116421,2004m10
01nov2004,-.399543603499255,.0309323943732629,2.4557802232821,1.34029683142316,4.475758223625,2.03651947860457,-.257781723369899,4.61521852222297,-44.5034716514453,2004m11
01dec2004,-.637707640762005,-.290120908748639,-2.82106803173114,-18.2950316391807,4.77938803194711,15.5347451182191,.400339271729777,.638775942144321,-24.1111530567199,2004m12
01jan2005,-.722048790480986,-.287569295036085,-.0302640013388773,6.4977335801828,4.88297094522507,7.64687169978166,.627421115566396,1.57320625100326,35.9408462349876,2005m1
01feb2005,-.724345444988592,-.5716053799862429,1.71696433249955,-9.17197885958778,5.43000229476545,9.712526059259069,1.22263192261354,3.33253319914029,23.9091301173143,2005m2
01mar2005,-1.32532369789438,-.9600786428828501,.680233484715137,1.45758237265206,5.69147963077371,7.27325131244979,.963462804006188,3.58877115863088,106.013705568358,2005m3
01apr2005,-.994011379024875,-1.15268060522736,.208992827387369,-2.28818568260323,5.90840491399074,4.64772725850439,1.0589148225038,3.35751056568547,-.438190032787844,2005m4
01may2005,-.93351948180167,-.283867301638925,-4.16189371784051,-13.0236449398204,6.03228751317126,17.0467253146518,1.03395648611579,.676255132690073,-35.7421925639397,2005m5
01jun2005,-1.91994827278265,-.0729748421112846,-3.98644198760922,-21.5268602594509,5.90614569121093,5.53016447476922,1.3726615010107,.749315906292836,58.1617509645994,2005m6
01jul2005,-1.78028935291364,-.104591073297325,3.63083272061819,-18.230019701469,5.88949990133924,15.5673570198903,.950586832909828,5.07127646406609,31.9339993827882,2005m7
01aug2005,-.643608427230847,-1.18641887774361,-2.84415907880172,7.07611359730755,5.86787115986339,10.1246379316028,1.17638427168671,4.83144738341892,76.48537845576089,2005m8
01sep2005,-.286791938326486,-.522745168385303,.77184050167403,19.266076117836,5.48178129012031,13.8951959498895,-.874013910695126,11.5253771819837,40.4961792181762,2005m9
01oct2005,-.15256121601007,-.200538906230702,1.05555875320953,1.04984235067676,5.16926126991351,13.4229160250258,.244180185064202,1.91738238862094,-13.786550363049,2005m10
01nov2005,.572906100585289,-.424567765659228,-.410679588086987,-34.3536739501381,4.95984611057428,9.383876715587551,1.27968657666528,-2.50907347052305,-73.1432749118522,2005m11
01dec2005,1.0335145964013,-.579752682529186,.921575124166044,-15.8710449734468,4.46907237080179,9.298606402790661,1.7188194667944,0,59.5734633601474,2005m12
01jan2006,2.6992403538076,-2.11774402194596,2.1724536016298,.426230080244849,4.11847988528109,7.66864689415183,1.8068571805637,5.80326934286219,19.7057993950001,2006m1
01feb2006,1.50323357014085,-1.05595569982049,.237165195319888,-9.82318622520566,3.83661296209773,12.391438000307,1.78599114546669,.7180555271158791,-24.3575005421494,2006m2
01mar2006,1.45566847300066,.270315211963284,1.85729089204827,29.5342814645906,3.5850322499545,14.4493036632376,1.95497096292394,2.32355298795959,9.972741332964929,2006m3
01apr2006,1.84824467800993,.642992052387267,7.21451899785721,45.7840695793092,3.37830654536065,13.553435865054,2.2088959339726,5.56109190943879,102.359870700329,2006m4
01may2006,2.71209950091272,-1.04096798006672,4.77145798420751,23.9886700556642,3.21450255905983,-2.8149357415846,2.19212257754737,3.21906944535471,39.5416298159734,2006m5
01jun2006,2.41251599668162,.378447184495875,3.85959925993934,28.7382873991476,3.20518204043728,14.9881973551142,2.47330899035818,2.95507164074245,-30.9843052383012,2006m6
01jul2006,2.23307986452895,.145739038040881,3.13103308356372,-38.7237077516854,3.20541477103859,2.65768520602304,2.3944254617053,4.09380247951248,50.7413372213868,2006m7
01aug2006,2.33688832801514,-.719722383668407,.440611835280781,-17.8815398527956,3.19226761229221,4.67616432860324,2.81217234549347,3.76979184391075,8.929839512592251,2006m8
01sep2006,2.15910830210565,.43124285950234,.484947980472433,-5.46073361387691,3.2023063010969,7.65938624467267,2.63322874762677,-3.14773716457069,-106.000687710143,2006m9
01oct2006,2.29885372943876,-.40125577904757,-3.01680948502512,-16.369177895821,3.18410212776497,1.8448677853075,2.51340950066989,-2.83012324290084,-18.138527886952,2006m10
01nov2006,1.87001499923993,.124211933725957,-2.76188136131666,-5.32798560319812,3.16272305511745,10.5868099972277,2.47390604815454,.410781846982644,28.8662115008655,2006m11
01dec2006,2.17824427692598,.307170546766327,-1.32050018365941,-2.70735038933303,3.14224014208483,14.9137499501903,3.49824838704675,4.25534867441364,21.1889218863046,2006m12
01jan2007,2.1540346453,.473599291026451,-.773303819405224,.9061233020275949,3.12872348917217,-3.09233639717464,3.17715450420328,4.00122473699405,-57.0005983431791,2007m1
01feb2007,2.09685402898473,-.4250010335676,.87718621275938,10.0471770789852,3.1202408267414,5.64761035000052,4.14038951472735,3.72154285770065,69.94363537935691,2007m2
01mar2007,2.54764028213119,-1.01899932165304,.9672232359795,23.2737793688933,3.11085623083896,5.95104993118886,4.35118026330539,4.38081839510147,26.7597566730558,2007m3
01apr2007,2.89320162563593,-1.04129336189262,-2.61985475549618,-2.05494226060701,3.05863705684025,-1.93881988963258,5.06159639429171,2.81876982914397,70.576721057656,2007m4
01may2007,2.98839862131484,-.541880478331875,-7.49314150151159,-3.05539154635177,3.27665852276973,12.7307645351119,5.20490785909784,3.47943320283335,1.74846190813014,2007m5
01jun2007,3.29905226455704,-.0090385663712524,2.84116229644075,1.73604291474234,3.22300388132292,5.52980033756311,5.31748831513115,2.54056494028028,1.02041639839499,2007m6
01jul2007,2.99994721867729,.361130361789947,.897797588699718,-3.1641685710504,3.20076056637184,3.59726833803732,5.25933570462804,1.82920527364914,27.6323333366946,2007m7
01aug2007,3.16652515242685,.325022445959697,2.54981745312451,19.8234493678701,3.20801608153052,13.7163827897845,5.52035007893759,.8166985163637011,-40.6998249210861,2007m8
